n_players,n_passes_completed,pass_attempts,completion_rate,density_dir,reciprocity,mean_out_deg,mean_in_deg,global_clustering,assortativity,n_communities,modularity,mean_deg_cent,max_deg_cent,mean_betw,max_betw,mean_close,max_close,mean_eigen,max_eigen,algebraic_conn,spectral_gap,mean_pass_len,forward_ratio,mean_progression,mean_start_x,mean_end_x,side_bias,lateral_ratio,pct_pass_by_DEF,pct_pass_by_GK,pct_pass_by_MID,pct_pass_by_FWD,team_id,team,cluster,proto
14,353,353,1.0,0.6758241758241759,0.7967479674796748,25.214285714285715,25.214285714285715,0.8301369863013699,-0.2011045258620627,3,0.10849537352839686,0.8131868131868131,1.0,0.08038003663003661,0.28066239316239316,0.8531005384609985,1.0,0.24714043226199875,0.39387716441908005,0.6704751297284401,0.05262966802624702,22.527314171501597,0.5014164305949008,7.328611898016997,59.98016997167139,67.30878186968839,0.08682719546742206,0.6647703767503663,0.0,0.0,1.0,0.0,791,South Korea,1,direct-counter-high-connectivity
19,1234,1234,1.0,0.5614035087719298,0.78125,64.94736842105263,64.94736842105263,0.7967145790554415,-0.1950490230164827,3,0.11838305020633641,0.6842105263157894,0.9444444444444444,0.07165380772191918,0.37670401493930905,0.7780785219866232,0.9473684210526315,0.18658720384580488,0.37422393236730733,0.7062962698648632,0.036482304926852116,23.222219104180468,0.5243111831442464,8.440842787682334,57.78687196110211,66.22771474878444,0.026418152350080958,0.6175682318585065,0.0,0.0,1.0,0.0,790,Sweden,0,direct-counter
18,984,984,1.0,0.5980392156862745,0.8306010928961749,54.666666666666664,54.666666666666664,0.7976744186046512,-0.28301658620079745,3,0.09360076260823585,0.6993464052287581,0.9411764705882353,0.07606889978213507,0.4014705882352941,0.7872333074461779,0.9444444444444444,0.1928531283463426,0.4255084591933125,0.6943661056881703,0.09232991985466832,23.265787350766587,0.4867886178861789,8.425813008130081,58.13719512195122,66.5630081300813,0.028683943089430917,0.5896862906728978,0.0,0.0,1.0,0.0,787,Senegal,0,direct-counter
17,972,972,1.0,0.6139705882352942,0.8023952095808383,57.1764705882353,57.1764705882353,0.7925021795989537,-0.22330557531629244,3,0.0700525199410659,0.7352941176470589,1.0,0.08219887955182073,0.2576388888888889,0.8066258442583338,1.0,0.20119337912882806,0.45936253166515867,0.7520080638297363,0.06655374642740775,21.551550642288646,0.4670781893004115,5.423868312757202,58.01543209876543,63.43930041152263,-0.011419753086419782,0.6497467732674626,0.0,0.0,1.0,0.0,789,Poland,2,balanced
14,449,449,1.0,0.6483516483516484,0.7796610169491526,32.07142857142857,32.07142857142857,0.8376068376068376,-0.2596314907872707,3,0.09028973070570084,0.7912087912087913,1.0,0.07246642246642246,0.3502136752136752,0.8429514788371489,1.0,0.23598912890573426,0.45653561445833724,0.7477867635143506,0.06287637401148283,21.74150790801141,0.48329621380846327,6.587973273942094,62.338530066815146,68.92650334075724,-0.0310133630289533,0.6718721097603617,0.0,0.0,1.0,0.0,774,Egypt,1,direct-counter-high-connectivity
15,1451,1451,1.0,0.7095238095238096,0.8590604026845637,96.73333333333333,96.73333333333333,0.8715995647442872,0.016758119531373187,3,0.10622228259604705,0.8095238095238096,0.9285714285714285,0.0858974358974359,0.28663003663003667,0.8530392156862746,0.9333333333333333,0.21734155907654437,0.41478250957498347,0.6332044157576048,0.08521227438066736,19.947865996873293,0.456237077877326,5.164024810475534,60.08201240523777,65.2460372157133,-0.006168159889731228,0.6300868144910484,0.0,0.0,1.0,0.0,778,Japan,3,high-connectivity
20,1857,1857,1.0,0.631578947368421,0.8916666666666667,92.85,92.85,0.8244651673066374,-0.2556380571868751,3,0.11986214672161309,0.7,0.9473684210526315,0.07760721247563354,0.3138401559454191,0.7881570890561749,0.95,0.18357448089588058,0.3955433092986222,0.6602485559872531,0.046139091910247565,21.73809021959245,0.5099623047926763,6.98546042003231,55.97415185783522,62.95961227786753,0.053863758750673084,0.6310861674174396,0.0,0.0,1.0,0.0,769,Colombia,0,direct-counter
19,1195,1195,1.0,0.6081871345029239,0.8557692307692307,62.89473684210526,62.89473684210526,0.7912524850894632,-0.2712813664720062,3,0.06597993732602718,0.695906432748538,1.0,0.05705767687191836,0.19379084967320265,0.7860809310753867,1.0,0.18769168924582513,0.39598471533084095,0.7894493821661078,0.03782647182039178,20.992441440753307,0.48284518828451883,7.0117154811715485,58.76066945606694,65.7723849372385,0.005146443514644439,0.6211084644652743,0.0,0.0,1.0,0.0,788,Morocco,0,direct-counter
16,963,963,1.0,0.7125,0.8421052631578947,60.1875,60.1875,0.8515962036238136,-0.19105713963710672,2,0.0904251705631739,0.825,1.0,0.08617063492063493,0.3161904761904762,0.861935608573573,1.0,0.21464192057895753,0.4303558574412271,0.724758327910756,0.05763599500077321,20.46837711862924,0.45586708203530635,5.628245067497404,60.01765316718588,65.64589823468329,-0.01279854620976124,0.6484446582426358,0.0,0.0,1.0,0.0,780,Portugal,2,balanced
16,1521,1521,1.0,0.6833333333333333,0.8902439024390244,95.0625,95.0625,0.8187250996015937,-0.2419252115367132,2,0.1574010316234562,0.7583333333333333,1.0,0.10109126984126984,0.3746031746031746,0.8228241580723199,1.0,0.1963330955477917,0.4749497821669056,0.559536593134863,0.020296903178420367,17.951116639157103,0.4148586456278764,2.8967784352399737,68.84549638395792,71.7422748191979,-0.0625410913872452,0.7060718011336246,0.0,0.0,1.0,0.0,772,Spain,2,balanced
16,673,673,1.0,0.6875,0.8121212121212121,42.0625,42.0625,0.8452173913043478,-0.31084089035448936,3,0.08950961408962549,0.8166666666666667,1.0,0.07295634920634922,0.473968253968254,0.8603279379933793,1.0,0.2230400629519821,0.46796199333824195,0.734846771453805,0.01994015255738324,26.57274810042639,0.586924219910847,13.343239227340268,52.16641901931649,65.50965824665676,0.028008915304606318,0.5685029526384914,0.0,0.0,1.0,0.0,797,Iran,1,direct-counter-high-connectivity
19,1295,1295,1.0,0.6432748538011696,0.8272727272727273,68.15789473684211,68.15789473684211,0.8015002885170225,-0.3274697398401073,2,0.09753909452751153,0.7543859649122806,1.0,0.067062263501892,0.2594771241830065,0.8216143505617189,1.0,0.19737259316097344,0.38534997235717633,0.707441473503874,0.04341982853928572,21.373758307306897,0.5019305019305019,6.376833976833977,60.732818532818534,67.1096525096525,0.04685328185328182,0.6642106300068953,0.0,0.0,1.0,0.0,783,Uruguay,2,balanced
